Table Name,Purpose,Key Fields,Relationships,Indexes Required,Notes
tenants,Store service admin (rental business) accounts,id; name; subdomain; subscription_plan_id; status; created_at,subscription_plans (Many-to-One),"subdomain (unique); status","All other tables have tenant_id FK"
subscription_plans,Subscription tiers and pricing,id; name; price; billing_cycle; features_json; max_vehicles; max_users,tenants (One-to-Many),name,Features stored as JSON for flexibility
users,All system users (super admin; service admin; employees; customers),id; tenant_id; email; password_hash; role; first_name; last_name; phone; status,tenants (Many-to-One); bookings (One-to-Many),"email (unique); tenant_id; role","Role: super_admin, service_admin, employee, customer"
vehicles,Fleet inventory,id; tenant_id; make; model; year; vin; license_plate; category_id; daily_rate; status; images_json,tenants (Many-to-One); vehicle_categories (Many-to-One); bookings (One-to-Many),"tenant_id; status; category_id; vin (unique)",Status: available/booked/maintenance/retired
vehicle_categories,Vehicle classification,id; tenant_id; name; description,vehicles (One-to-Many),"tenant_id; name",Economy/SUV/Luxury/Van etc
customers,Customer database (can also be in users table),id; tenant_id; user_id; license_number; license_expiry; insurance_info_json; blacklisted,tenants (Many-to-One); users (One-to-One); bookings (One-to-Many),"tenant_id; user_id; license_number",Extends user table with customer-specific info
bookings,Rental reservations,id; tenant_id; customer_id; vehicle_id; start_date; end_date; status; total_amount; deposit_amount; pickup_location; dropoff_location,tenants; customers; vehicles (Many-to-One); payments (One-to-Many),"tenant_id; customer_id; vehicle_id; start_date; end_date; status",Status: pending/confirmed/active/completed/cancelled
booking_extras,Add-ons for bookings,id; booking_id; extra_type; quantity; unit_price; total_price,bookings (Many-to-One),booking_id,GPS/Insurance/Child Seat/Additional Driver
payments,Payment transactions,id; tenant_id; booking_id; amount; payment_method; payment_status; transaction_id; gateway_response_json,tenants; bookings (Many-to-One),"tenant_id; booking_id; transaction_id; payment_status",Status: pending/completed/failed/refunded
invoices,Generated invoices,id; tenant_id; booking_id; invoice_number; issue_date; due_date; subtotal; tax_amount; total_amount; status; pdf_url,tenants; bookings (Many-to-One),"tenant_id; booking_id; invoice_number (unique)",Auto-generated on booking confirmation
agreements,Rental contracts,id; tenant_id; booking_id; template_id; signed_at; customer_signature_url; admin_signature_url; pdf_url,tenants; bookings; agreement_templates (Many-to-One),"tenant_id; booking_id",Stores signed agreements
agreement_templates,Contract templates,id; tenant_id; name; content; version; active,tenants (Many-to-One); agreements (One-to-Many),"tenant_id; active",HTML/Markdown templates with placeholders
vehicle_inspections,Pre/post rental checks,id; tenant_id; booking_id; vehicle_id; inspection_type; inspector_id; fuel_level; mileage; damages_json; photos_json; created_at,tenants; bookings; vehicles; users (Many-to-One),"tenant_id; booking_id; vehicle_id; inspection_type",Type: checkout/checkin
maintenance_records,Service history,id; tenant_id; vehicle_id; service_type; service_date; mileage; cost; notes; next_service_date; performed_by,tenants; vehicles (Many-to-One),"tenant_id; vehicle_id; service_date; next_service_date",Track all maintenance
damage_reports,Vehicle damage tracking,id; tenant_id; vehicle_id; booking_id; reported_by; damage_description; estimated_cost; photos_json; status; resolution_notes,tenants; vehicles; bookings; users (Many-to-One),"tenant_id; vehicle_id; booking_id; status",Status: reported/assessed/repaired/closed
notifications,System notifications,id; tenant_id; user_id; type; channel; subject; message; sent_at; read_at; metadata_json,tenants; users (Many-to-One),"tenant_id; user_id; sent_at; read_at","Type: booking_confirmation, payment_reminder, etc"
employees,Employee/staff details,id; tenant_id; user_id; role; hire_date; status,tenants; users (Many-to-One),"tenant_id; user_id",Role: admin/manager/front_desk/maintenance
permissions,Role-based access control,id; tenant_id; role; module; can_create; can_read; can_update; can_delete,tenants (Many-to-One),"tenant_id; role; module",Fine-grained permissions per module
pricing_rules,Dynamic pricing configuration,id; tenant_id; vehicle_category_id; rule_type; start_date; end_date; adjustment_type; adjustment_value; priority,tenants; vehicle_categories (Many-to-One),"tenant_id; vehicle_category_id; start_date; end_date",Seasonal/weekend/holiday pricing
expenses,Operational costs,id; tenant_id; vehicle_id; expense_type; amount; expense_date; description; receipt_url,tenants; vehicles (Many-to-One),"tenant_id; vehicle_id; expense_date; expense_type",Fuel/Insurance/Repairs/Registration
reviews,Customer feedback,id; tenant_id; booking_id; customer_id; rating; review_text; response_text; created_at; responded_at,tenants; bookings; customers (Many-to-One),"tenant_id; booking_id; customer_id; created_at",1-5 star rating
support_tickets,Customer queries,id; tenant_id; customer_id; subject; description; status; priority; assigned_to; created_at; resolved_at,tenants; customers; users (Many-to-One),"tenant_id; customer_id; status; assigned_to",Status: open/in_progress/resolved/closed
audit_logs,System activity tracking,id; tenant_id; user_id; action; table_name; record_id; old_values_json; new_values_json; ip_address; created_at,tenants; users (Many-to-One),"tenant_id; user_id; created_at; table_name",Track all critical changes
cancellations,Booking cancellations,id; tenant_id; booking_id; cancelled_by; cancellation_reason; cancelled_at; refund_amount; refund_status,tenants; bookings; users (Many-to-One),"tenant_id; booking_id",Track cancellation details
documents,File storage metadata,id; tenant_id; related_table; related_id; document_type; file_name; file_path; file_size; uploaded_by; uploaded_at,tenants; users (Many-to-One),"tenant_id; related_table; related_id",License/Insurance/Registration scans
custom_forms,User-defined forms,id; tenant_id; name; fields_json; active,tenants (Many-to-One),"tenant_id; active",Dynamic form builder
form_submissions,Form responses,id; tenant_id; form_id; booking_id; customer_id; responses_json; submitted_at,tenants; custom_forms; bookings; customers (Many-to-One),"tenant_id; form_id; booking_id",Store form data
